Index,CTE,p_error,d_error,i_error,steering_output
1132,-0.5211,-0.10422,0.0318,0.0877862,0.0153662
1133,-0.4694,-0.09388,0.1034,0.0873168,0.0968368
1134,-0.379,-0.0758,0.1808,0.0869378,0.191938
1135,-0.3147,-0.06294,0.1286,0.0866231,0.152283
1136,-0.2213,-0.04426,0.1868,0.0864018,0.228942
1137,-0.1344,-0.02688,0.1738,0.0862674,0.233187
1138,-0.0831,-0.01662,0.1026,0.0861843,0.172164
1139,-0.0209,-0.00418,0.1244,0.0861634,0.206383
1140,0.0106,0.00212,0.063,0.086174,0.151294
1141,0.0411,0.00822,0.061,0.0862151,0.155435
1142,0.0517,0.01034,0.0212,0.0862668,0.117807
1143,0.0529,0.01058,0.0024,0.0863197,0.0992997
1144,0.124,0.0248,0.1422,0.0864437,0.253444
1145,0.1829,0.03658,0.1178,0.0866266,0.241007
1146,0.2493,0.04986,0.1328,0.0868759,0.269536
1147,0.2859,0.05718,0.0732,0.0871618,0.217542
1148,0.2923,0.05846,0.0128,0.0874541,0.158714
1149,0.2751,0.05502,-0.0344,0.0877292,0.108349
1150,0.2471,0.04942,-0.056,0.0879763,0.0813963
1151,0.184,0.0368,-0.1262,0.0881603,-0.0012397
1152,0.0986,0.01972,-0.1708,0.0882589,-0.0628211
1153,0.0322,0.00644,-0.1328,0.0882911,-0.0380689
1154,-0.0431,-0.00862,-0.1506,0.088248,-0.070972
1155,-0.07,-0.014,-0.0538,0.088178,0.020378
1156,-0.1119,-0.02238,-0.0838,0.0880661,-0.0181139
1157,-0.1414,-0.02828,-0.059,0.0879247,0.0006447
1158,-0.1874,-0.03748,-0.092,0.0877373,-0.0417427
1159,-0.2188,-0.04376,-0.0628,0.0875185,-0.0190415
1160,-0.2647,-0.05294,-0.0918,0.0872538,-0.0574862
1161,-0.3083,-0.06166,-0.0872,0.0869455,-0.0619145
1162,-0.3351,-0.06702,-0.0536,0.0866104,-0.0340096
1163,-0.3617,-0.07234,-0.0532,0.0862487,-0.0392913
1164,-0.3272,-0.06544,0.069,0.0859215,0.0894815
1165,-0.2522,-0.05044,0.15,0.0856693,0.185229
1166,-0.2011,-0.04022,0.1022,0.0854682,0.147448
1167,-0.1318,-0.02636,0.1386,0.0853364,0.197576
1168,-0.0737,-0.01474,0.1162,0.0852627,0.186723
1169,-0.0431,-0.00862,0.0612,0.0852196,0.1378
1170,-0.0121,-0.00242,0.062,0.0852075,0.144788
1171,-0.0011,-0.00022,0.022,0.0852064,0.106986
1172,0.0006,0.00012,0.0034,0.085207,0.088727
1173,-0.0148,-0.00296,-0.0308,0.0851922,0.0514322
1174,-0.0338,-0.00676,-0.038,0.0851584,0.0403984
1175,-0.0733,-0.01466,-0.079,0.0850851,-0.0085749
1176,-0.1061,-0.02122,-0.0656,0.084979,-0.001841
1177,-0.1616,-0.03232,-0.111,0.0848174,-0.0585026
1178,-0.2019,-0.04038,-0.0806,0.0846155,-0.0363645
1179,-0.2622,-0.05244,-0.1206,0.0843533,-0.0886867
1180,-0.259,-0.0518,0.0064,0.0840943,0.0386943
1181,-0.236,-0.0472,0.046,0.0838583,0.0826583
1182,-0.2115,-0.0423,0.049,0.0836468,0.0903468
1183,-0.197,-0.0394,0.029,0.0834498,0.0730498
1184,-0.1801,-0.03602,0.0338,0.0832697,0.0810497
1185,-0.1692,-0.03384,0.0218,0.0831005,0.0710605
1186,-0.1653,-0.03306,0.0078,0.0829352,0.0576752
1187,-0.1667,-0.03334,-0.0028,0.0827685,0.0466285
1188,-0.1746,-0.03492,-0.0158,0.0825939,0.0318739
1189,-0.1474,-0.02948,0.0544,0.0824465,0.107367
1190,-0.1035,-0.0207,0.0878,0.082343,0.149443
1191,-0.0442,-0.00884,0.1186,0.0822988,0.192059
1192,0.0019,0.00038,0.0922,0.0823007,0.174881
1193,0.0227,0.00454,0.0416,0.0823234,0.128463
1194,0.0373,0.00746,0.0292,0.0823607,0.119021
1195,0.0365,0.0073,-0.0016,0.0823972,0.0880972
1196,0.0201,0.00402,-0.0328,0.0824173,0.0536373
1197,-0.0003,-6e-05,-0.0408,0.082417,0.041557
1198,-0.0427,-0.00854,-0.0848,0.0823743,-0.0109657
1199,-0.0976,-0.01952,-0.1098,0.0822767,-0.0470433
1200,-0.1391,-0.02782,-0.083,0.0821376,-0.0286824
1201,-0.2044,-0.04088,-0.1306,0.0819332,-0.0895468
1202,-0.2717,-0.05434,-0.1346,0.0816615,-0.107278
1203,-0.3154,-0.06308,-0.0874,0.0813461,-0.0691339
1204,-0.375,-0.075,-0.1192,0.0809711,-0.113229
1205,-0.4252,-0.08504,-0.1004,0.0805459,-0.104894
1206,-0.431,-0.0862,-0.0116,0.0801149,-0.0176851
1207,-0.3961,-0.07922,0.0698,0.0797188,0.0702988
1208,-0.3664,-0.07328,0.0594,0.0793524,0.0654724
1209,-0.3189,-0.06378,0.095,0.0790335,0.110254
1210,-0.2865,-0.0573,0.0648,0.078747,0.086247
1211,-0.2403,-0.04806,0.0924,0.0785067,0.122847
1212,-0.2117,-0.04234,0.0572,0.078295,0.093155
1213,-0.1749,-0.03498,0.0736,0.0781201,0.11674
1214,-0.1461,-0.02922,0.0576,0.077974,0.106354
1215,-0.1322,-0.02644,0.0278,0.0778418,0.0792018
1216,0.1126,0.02252,0.4896,0.0779544,0.590074
1217,-0.0278,-0.00556,-0.2808,0.0779266,-0.208433
1218,0.003,0.0006,0.0616,0.0779296,0.14013
1219,0.0459,0.00918,0.0858,0.0779755,0.172956
1220,0.082,0.0164,0.0722,0.0780575,0.166658
1221,0.0967,0.01934,0.0294,0.0781542,0.126894
1222,0.1028,0.02056,0.0122,0.078257,0.111017
1223,0.0965,0.0193,-0.0126,0.0783535,0.0850535
1224,0.0725,0.0145,-0.048,0.078426,0.044926
1225,0.0473,0.00946,-0.0504,0.0784733,0.0375333
1226,-0.0016,-0.00032,-0.0978,0.0784717,-0.0196483
1227,-0.0622,-0.01244,-0.1212,0.0784095,-0.0552305
1228,-0.107,-0.0214,-0.0896,0.0783025,-0.0326975
1229,-0.1764,-0.03528,-0.1388,0.0781261,-0.0959539
1230,-0.2233,-0.04466,-0.0938,0.0779028,-0.0605572
1231,-0.2903,-0.05806,-0.134,0.0776125,-0.114447
1232,-0.3518,-0.07036,-0.123,0.0772607,-0.116099
1233,-0.3879,-0.07758,-0.0722,0.0768728,-0.0729072
1234,-0.4317,-0.08634,-0.0876,0.0764411,-0.0974989
1235,-0.4629,-0.09258,-0.0624,0.0759782,-0.0790018
1236,-0.4761,-0.09522,-0.0264,0.0755021,-0.0461179
1237,-0.4828,-0.09656,-0.0134,0.0750193,-0.0349407
1238,-0.4692,-0.09384,0.0272,0.0745501,0.0079101
1239,-0.3921,-0.07842,0.1542,0.074158,0.149938
1240,-0.3014,-0.06028,0.1814,0.0738566,0.194977
1241,-0.2398,-0.04796,0.1232,0.0736168,0.148857
1242,-0.1543,-0.03086,0.171,0.0734625,0.213603
1243,-0.1028,-0.02056,0.103,0.0733597,0.1558
1244,-0.0386,-0.00772,0.1284,0.0733211,0.194001
1245,-0.0051,-0.00102,0.067,0.073316,0.139296
1246,0.0289,0.00578,0.068,0.0733449,0.147125
1247,0.0405,0.0081,0.0232,0.0733854,0.104685
1248,0.0413,0.00826,0.0016,0.0734267,0.0832867
1249,0.043,0.0086,0.0034,0.0734697,0.0854697
1250,0.0303,0.00606,-0.0254,0.0735,0.05416
1251,0.0344,0.00688,0.0082,0.0735344,0.0886144
1252,0.0306,0.00612,-0.0076,0.073565,0.072085
1253,0.012,0.0024,-0.0372,0.073577,0.038777
1254,-0.0088,-0.00176,-0.0416,0.0735682,0.0302082
1255,-0.0504,-0.01008,-0.0832,0.0735178,-0.0197622
1256,-0.084,-0.0168,-0.0672,0.0734338,-0.0105662
1257,-0.1399,-0.02798,-0.1118,0.0732939,-0.0664861
1258,-0.1798,-0.03596,-0.0798,0.0731141,-0.0426459
1259,-0.2396,-0.04792,-0.1196,0.0728745,-0.0946455
1260,-0.2977,-0.05954,-0.1162,0.0725768,-0.103163
1261,-0.3335,-0.0667,-0.0716,0.0722433,-0.0660567
1262,-0.3794,-0.07588,-0.0918,0.0718639,-0.0958161
1263,-0.4045,-0.0809,-0.0502,0.0714594,-0.0596406
1264,-0.4323,-0.08646,-0.0556,0.0710271,-0.0710329
1265,-0.444,-0.0888,-0.0234,0.0705831,-0.0416169
1266,-0.4509,-0.09018,-0.0138,0.0701322,-0.0338478
1267,-0.4428,-0.08856,0.0162,0.0696894,-0.0026706
1268,-0.4178,-0.08356,0.05,0.0692716,0.0357116
1269,-0.3539,-0.07078,0.1278,0.0689177,0.125938
1270,-0.3062,-0.06124,0.0954,0.0686115,0.102771
1271,-0.2351,-0.04702,0.1422,0.0683764,0.163556
1272,-0.1675,-0.0335,0.1352,0.0682089,0.169909
1273,-0.1268,-0.02536,0.0814,0.0680821,0.124122
1274,-0.0763,-0.01526,0.101,0.0680058,0.153746
1275,-0.0391,-0.00782,0.0744,0.0679667,0.134547
1276,-0.0226,-0.00452,0.033,0.0679441,0.0964241
1277,-0.0116,-0.00232,0.022,0.0679325,0.0876125
1278,-0.0163,-0.00326,-0.0094,0.0679162,0.0552562
1279,-0.0277,-0.00554,-0.0228,0.0678885,0.0395485
1280,-0.0558,-0.01116,-0.0562,0.0678327,0.0004727
1281,-0.0809,-0.01618,-0.0502,0.0677518,0.0013718
1282,-0.1254,-0.02508,-0.089,0.0676264,-0.0464536
1283,-0.1586,-0.03172,-0.0664,0.0674678,-0.0306522
1284,-0.1748,-0.03496,-0.0324,0.067293,-6.7e-05
1285,-0.1281,-0.02562,0.0934,0.0671649,0.134945
1286,-0.0969,-0.01938,0.0624,0.067068,0.110088
1287,-0.0571,-0.01142,0.0796,0.0670109,0.135191
1288,-0.0281,-0.00562,0.058,0.0669828,0.119363
